Speaker,Time,Text,URL,Name,Parse
Kamala Harris,00:03:08,"So listen, I wanted to be here in Raleigh and North Carolina as one of the first trips that I’ve taken now officially on the ticket as the vice presidential nominee, because one, I love North Carolina, and it’s so great to come back. But two, there is so much about what happens in North Carolina as a bellwether, as a measure for what’s going on in our country, both in terms of its historical strengths, but also in terms of the challenges. The other thing we know about North Carolina is this. North Carolina is a road to the White House. There is no question about that. North Carolina is a road to reaching majority in the United States Senate, where I now serve. There’s no question about that. And so it is you, the leaders of North Carolina, that are going to make a difference, and make a decision that is not only about the people of this state, but the people of our nation, because with you, when you drop that ballot in that box, or walk into the polling station, with you, you will carry the future of so many others.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"So listen, I wanted to be here in Raleigh and North Carolina as one of the first trips that I’ve taken now officially on the ticket as the vice presidential nominee, because one, I love North Carolina, and it’s so great to come back. But two, there is so much about what happens in North Carolina as a bellwether, as a measure for what’s going on in our country, both in terms of its historical strengths, but also in terms of the challenges. The other thing we know about North Carolina is this. North Carolina is a road to the White House. There is no question about that. North Carolina is a road to reaching majority in the United States Senate, where I now serve. There’s no question about that. And so it is you, the leaders of North Carolina, that are going to make a difference, and make a decision that is not only about the people of this state, but the people of our nation, because with you, when you drop that ballot in that box, or walk into the polling station, with you, you will carry the future of so many others."
Kamala Harris,00:04:15,"So I wanted to come here to pay my respects, but also to thank you and to listen to you and to talk with you, because we are all in this together. We have 36 days to get it done. Early voting in North Carolina starts on Thursday, October 15th, so there’s not a minute to waste. And with that, let’s get started with our conversation. Thank you.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"So I wanted to come here to pay my respects, but also to thank you and to listen to you and to talk with you, because we are all in this together. We have 36 days to get it done. Early voting in North Carolina starts on Thursday, October 15th, so there’s not a minute to waste. And with that, let’s get started with our conversation. Thank you."
Kamala Harris,00:04:59,Thank you.,https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,Thank you.
Kamala Harris,00:05:29,"That’s a wonderful question. And it really does highlight what’s at stake in the outcome of this election in so many ways. So let’s start with one of the crises that we’re facing as a country, which is the COVID pandemic. I think of it both as a crisis that is about a public health crisis. I think of it as an economic crisis. And in many ways, it is about the crisis of long-standing disparities in our country that have been only exasperated, only highlighted, which speaks to the crisis of systemic racism in our country.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"That’s a wonderful question. And it really does highlight what’s at stake in the outcome of this election in so many ways. So let’s start with one of the crises that we’re facing as a country, which is the COVID pandemic. I think of it both as a crisis that is about a public health crisis. I think of it as an economic crisis. And in many ways, it is about the crisis of long-standing disparities in our country that have been only exasperated, only highlighted, which speaks to the crisis of systemic racism in our country."
Kamala Harris,00:06:08,"So on your point, right now we are looking at the fact that Black folks and Latinos are three times as likely to contract this virus, and equally three times as likely and twice as likely to die from it. And when we look at those disparities, we know that it’s connected with the fact that there’s a reflection between those numbers and the preexisting conditions that existed before the virus hit. This virus is a predator in many ways. It preys on people who have preexisting conditions. So when you look at the Latino community, when you look at the Black community, and you know that similar in many cases, in terms of the preexisting conditions, things like high blood pressure, things like diabetes, are real. And so part of the perspective that Joe and I share is one to acknowledge those racial disparities and then address them. And that’s about a plan that we have, for example. By the way, Donald Trump has no plan. Let’s just start there. So it’s not even like we’re contrasting plans. He actually does not have a plan. But our plan, which includes what we need to do around testing, around treatment, and I pray every night that we get a vaccine as soon as possible that is safe, and about distribution of that vaccine. It’s about addressing the fact that we need to grow what Barack Obama and Joe Biden created with the Affordable Care Act.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"So on your point, right now we are looking at the fact that Black folks and Latinos are three times as likely to contract this virus, and equally three times as likely and twice as likely to die from it. And when we look at those disparities, we know that it’s connected with the fact that there’s a reflection between those numbers and the preexisting conditions that existed before the virus hit. This virus is a predator in many ways. It preys on people who have preexisting conditions. So when you look at the Latino community, when you look at the Black community, and you know that similar in many cases, in terms of the preexisting conditions, things like high blood pressure, things like diabetes, are real. And so part of the perspective that Joe and I share is one to acknowledge those racial disparities and then address them. And that’s about a plan that we have, for example. By the way, Donald Trump has no plan. Let’s just start there. So it’s not even like we’re contrasting plans. He actually does not have a plan. But our plan, which includes what we need to do around testing, around treatment, and I pray every night that we get a vaccine as soon as possible that is safe, and about distribution of that vaccine. It’s about addressing the fact that we need to grow what Barack Obama and Joe Biden created with the Affordable Care Act."
Kamala Harris,00:07:40,"And we need to expand it, so even more people have coverage, that we need to deal with the expansion in a way that we are dealing not only with the healthcare from the neck down, but let us also realize we need to also expand healthcare from the neck up. That’s called mental health care, which particularly is an issue for us in our Latino and our Black communities, especially when you look at the high rates of undiagnosed and untreated trauma, right? I mean, think about it for a moment. Just step back on that point. Poverty is trauma inducing. We need to diagnose and we need to treat it. It is trauma inducing that you experience all of the effects of poverty, including violence in communities. All of these things must be addressed, and done in a manner that is conscious of the disparities based on race, based on historical disproportionate distribution of resources.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"And we need to expand it, so even more people have coverage, that we need to deal with the expansion in a way that we are dealing not only with the healthcare from the neck down, but let us also realize we need to also expand healthcare from the neck up. That’s called mental health care, which particularly is an issue for us in our Latino and our Black communities, especially when you look at the high rates of undiagnosed and untreated trauma, right? I mean, think about it for a moment. Just step back on that point. Poverty is trauma inducing. We need to diagnose and we need to treat it. It is trauma inducing that you experience all of the effects of poverty, including violence in communities. All of these things must be addressed, and done in a manner that is conscious of the disparities based on race, based on historical disproportionate distribution of resources."
Kamala Harris,00:08:42,"One of the biggest issues that we face, again in terms of disparities, I can go into the history. North Carolina knows it better than most. But one of the issues is what is a challenge in terms of access to capital. So the Whites, I’m sure they have long stories about what they did to be smart around acquiring capital to build up your business, knowing that a lot of the traditional sources of access to capital were unavailable, and still are unavailable, to Black and Brown communities. So Joe Biden and I have a plan that is about $150 billion that is going to be focused on low interest loans and access to capital, with an emphasis on Black and Brown communities, knowing that our businesses have always traditionally been, again, the source of our economic lifeblood and vitality.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"One of the biggest issues that we face, again in terms of disparities, I can go into the history. North Carolina knows it better than most. But one of the issues is what is a challenge in terms of access to capital. So the Whites, I’m sure they have long stories about what they did to be smart around acquiring capital to build up your business, knowing that a lot of the traditional sources of access to capital were unavailable, and still are unavailable, to Black and Brown communities. So Joe Biden and I have a plan that is about $150 billion that is going to be focused on low interest loans and access to capital, with an emphasis on Black and Brown communities, knowing that our businesses have always traditionally been, again, the source of our economic lifeblood and vitality."
Kamala Harris,00:09:35,"So those are a couple of things. I can go into the topic of criminal justice. I think we’re going to talk about that in a minute. Education, the disparities there. You look at the fact that our children are supposed to be learning from home right now, but in poor communities, in Black and Brown communities, urban communities, as well as rural communities, access to broadband is a real issue. I know it’s a real issue here in North Carolina. We’re talking about how our children should be learning from home, but first of all, that requires that you have affordable access to broadband, if you have access at all. Then, if you have more than one child, do you have access to the technology? Are you going to have that many laptops? So many of our families who have access to wifi, it’s on their cell phone. A child can’t learn remotely on a cell phone. These are real issues that will have longterm impact on our communities, if we don’t see it and address it. And that’s part of the plan we have. So I appreciate your question. Thank you.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"So those are a couple of things. I can go into the topic of criminal justice. I think we’re going to talk about that in a minute. Education, the disparities there. You look at the fact that our children are supposed to be learning from home right now, but in poor communities, in Black and Brown communities, urban communities, as well as rural communities, access to broadband is a real issue. I know it’s a real issue here in North Carolina. We’re talking about how our children should be learning from home, but first of all, that requires that you have affordable access to broadband, if you have access at all. Then, if you have more than one child, do you have access to the technology? Are you going to have that many laptops? So many of our families who have access to wifi, it’s on their cell phone. A child can’t learn remotely on a cell phone. These are real issues that will have longterm impact on our communities, if we don’t see it and address it. And that’s part of the plan we have. So I appreciate your question. Thank you."
Kamala Harris,00:11:02,Thank you. Thank you.,https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,Thank you. Thank you.
Kamala Harris,00:11:03,Thank you.,https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,Thank you.
Kamala Harris,00:11:08,Yeah.,https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,Yeah.
Kamala Harris,00:11:22,"All right. So first of all, it requires that you see young men and seeing young men leaders. I find myself… It was actually after the Breonna Taylor grand jury decision that came down last week. I was reminded of one of the many sayings that my late mother had. And one of them is she would say to me, “Kamala, don’t you ever let anybody tell you who you are. You tell them who you are.” So when I say that to you, I’m not suggesting I will tell you you are a young leader and until I anoint you young leader, you are. You’re already a young leader.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"All right. So first of all, it requires that you see young men and seeing young men leaders. I find myself… It was actually after the Breonna Taylor grand jury decision that came down last week. I was reminded of one of the many sayings that my late mother had. And one of them is she would say to me, “Kamala, don’t you ever let anybody tell you who you are. You tell them who you are.” So when I say that to you, I’m not suggesting I will tell you you are a young leader and until I anoint you young leader, you are. You’re already a young leader."
Kamala Harris,00:12:09,"And I’m talking about the fact that I recognize that and I see that and I honor that. It means then creating not only access, but an open door with constant access so that your role of leadership can inform the decisions that I make and that we make. So that’s about being not only able to walk through the door, but having a seat at the table. On issues, again, like what we were talking about around access to capital. You are both teachers. Title I funding, Joe and I have a part of our plan for Title 1 funding is that we will triple Title I funding.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"And I’m talking about the fact that I recognize that and I see that and I honor that. It means then creating not only access, but an open door with constant access so that your role of leadership can inform the decisions that I make and that we make. So that’s about being not only able to walk through the door, but having a seat at the table. On issues, again, like what we were talking about around access to capital. You are both teachers. Title I funding, Joe and I have a part of our plan for Title 1 funding is that we will triple Title I funding."
Kamala Harris,00:12:52,"And for everybody, everybody knows Title I funding is about funding that goes to inner city schools, to schools that have low tax base, schools that have the highest rates of need. It’s about what we need to do in terms of leadership on issues that are about education, not only K through 12, which you are both leaders as educators, but also what we need to do around creating access to employment opportunities based on providing the education that is necessary to have those kinds of jobs. The way I think about it is we got to stop talking just about higher education.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"And for everybody, everybody knows Title I funding is about funding that goes to inner city schools, to schools that have low tax base, schools that have the highest rates of need. It’s about what we need to do in terms of leadership on issues that are about education, not only K through 12, which you are both leaders as educators, but also what we need to do around creating access to employment opportunities based on providing the education that is necessary to have those kinds of jobs. The way I think about it is we got to stop talking just about higher education."
Kamala Harris,00:13:33,"I like to say instead, let’s think about it as education after high school and making sure that there are paths that are available for education after high school because the good jobs, most of them as we go forward are going to require education after high school. And for some, that’s going to be the ability to at some point then walk across the stage with a diploma and a four year degree, but for others, that’s going to be getting the education so they can get the certificate to qualify for the job that requires that skill. I’m going to need your help figuring out how we make that relevant, how we actually create it as a policy in a way it hits the streets.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"I like to say instead, let’s think about it as education after high school and making sure that there are paths that are available for education after high school because the good jobs, most of them as we go forward are going to require education after high school. And for some, that’s going to be the ability to at some point then walk across the stage with a diploma and a four year degree, but for others, that’s going to be getting the education so they can get the certificate to qualify for the job that requires that skill. I’m going to need your help figuring out how we make that relevant, how we actually create it as a policy in a way it hits the streets."
Kamala Harris,00:14:16,"Because the policy on high means nothing if it doesn’t hit the streets and that’s where access in terms of real leaders who are on the floor, on the ground will make all the difference if we’re going to be relevant. And I can go down the list of the policies that make that so. But also it’s about encouraging you, if you’re interested in running for office. It’s about being mentors. My mother, again, I’ll give you another one of her sayings. She had a lot of them. But she would say to me, “Kamala, you may be the first to do many things. Make sure you’re not the last.”",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"Because the policy on high means nothing if it doesn’t hit the streets and that’s where access in terms of real leaders who are on the floor, on the ground will make all the difference if we’re going to be relevant. And I can go down the list of the policies that make that so. But also it’s about encouraging you, if you’re interested in running for office. It’s about being mentors. My mother, again, I’ll give you another one of her sayings. She had a lot of them. But she would say to me, “Kamala, you may be the first to do many things. Make sure you’re not the last.”"
Kamala Harris,00:14:55,And you can look at both Joe Biden’s career and mine to know that mentoring and legacy are very much a way of how we think about our responsibility as leaders. So thank you for that.,https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,And you can look at both Joe Biden’s career and mine to know that mentoring and legacy are very much a way of how we think about our responsibility as leaders. So thank you for that.
Kamala Harris,00:15:10,Thank you.,https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,Thank you.
Kamala Harris,00:16:15,"I appreciate the question and the point. So first of all, the premise of your point is something I couldn’t agree with more, which is we have to earn the votes. Nobody is supposed to vote for us. We need to earn it. The other point that I think you’re raising is something that I agree profoundly with, which is let’s step back and decide how we’re going to declare a win and how we’re measuring the win, how do we define the win. Because here’s what I mean. If you define the win as just simply beating Donald Trump, then the job is over the day we get sworn in. But if you define the win as winning to actually confront the issues, then the job begins the day we’re sworn in. So I couldn’t agree more with the spirit with which you make the point. Now specifically on topic. I know as a former prosecutor, and let me give you the background on that. My parents met when they were active in the Civil Rights Movement, marching and shouting. There is not a black man I know, be he a relative or friend who has not been the subject of some form of racial profiling, unreasonable stop or excessive force.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"I appreciate the question and the point. So first of all, the premise of your point is something I couldn’t agree with more, which is we have to earn the votes. Nobody is supposed to vote for us. We need to earn it. The other point that I think you’re raising is something that I agree profoundly with, which is let’s step back and decide how we’re going to declare a win and how we’re measuring the win, how do we define the win. Because here’s what I mean. If you define the win as just simply beating Donald Trump, then the job is over the day we get sworn in. But if you define the win as winning to actually confront the issues, then the job begins the day we’re sworn in. So I couldn’t agree more with the spirit with which you make the point. Now specifically on topic. I know as a former prosecutor, and let me give you the background on that. My parents met when they were active in the Civil Rights Movement, marching and shouting. There is not a black man I know, be he a relative or friend who has not been the subject of some form of racial profiling, unreasonable stop or excessive force."
Kamala Harris,00:17:40,"I grew up understanding how the system works and it was the very distrust that so many have today that propelled me to become a prosecutor. Because I decided, well, there are many ways to deal with the system, I’m going to choose to go in the system to see if I can’t help reform it from the inside, which is why I created some of the first in the nation initiatives. For example, one that focused on young men who were arrested for drug sales and getting them jobs and counseling. It became a national model. So I’m committed to this.",https://www.rev.com/blog/transcripts/kamala-harris-campaign-roundtable-transcript-in-north-carolina-september-28,Harris,"I grew up understanding how the system works and it was the very distrust that so many have today that propelled me to become a prosecutor. Because I decided, well, there are many ways to deal with the system, I’m going to choose to go in the system to see if I can’t help reform it from the inside, which is why I created some of the first in the nation initiatives. For example, one that focused on young men who were arrested for drug sales and getting them jobs and counseling. It became a national model. So I’m committed to this."
